Portfolio,Mu,Sigma,Sharpe,Treynor,Sortino,Omega,Mu_anual,Sigma_anual,Beta,VaR,CVaR,MaxDrawdown,Profit_%,YearMonth,Year,Asset_Class,Method
VaR_CVaR,17.721,44.463,0.399,0.042,1.839,3.144,212.656,154.025,4.188,0.281,0.347,49.555,243.785,2021-12,2021,Criptomonedas,VaR_CVaR
VaR_CVaR,-9.823,14.658,-0.67,-0.073,-0.939,0.193,-117.876,50.776,1.344,0.289,0.312,72.824,-74.941,2022-12,2022,Criptomonedas,VaR_CVaR
VaR_CVaR,6.733,17.661,0.381,0.057,0.884,2.788,80.799,61.179,1.178,0.151,0.226,22.591,87.922,2023-12,2023,Criptomonedas,VaR_CVaR
VaR_CVaR,8.098,16.195,0.5,0.029,2.752,5.405,97.173,56.099,2.791,0.08,0.081,13.698,127.121,2024-12,2024,Criptomonedas,VaR_CVaR
VaR_CVaR,1.498,3.513,0.426,0.074,1.106,3.475,17.973,12.169,0.201,0.029,0.03,3.554,18.753,2019-12,2019,Alternativos,VaR_CVaR
VaR_CVaR,1.001,4.976,0.201,0.028,0.521,1.761,12.017,17.237,0.357,0.046,0.056,9.249,11.24,2020-12,2020,Alternativos,VaR_CVaR
VaR_CVaR,2.109,4.977,0.424,0.017,1.057,2.704,25.306,17.241,1.218,0.059,0.068,6.838,26.76,2021-12,2021,Alternativos,VaR_CVaR
VaR_CVaR,-0.854,11.224,-0.076,-0.006,-0.14,0.822,-10.252,38.881,1.51,0.163,0.17,26.548,-15.822,2022-12,2022,Alternativos,VaR_CVaR
VaR_CVaR,1.065,4.269,0.249,0.026,0.568,1.871,12.782,14.789,0.412,0.049,0.053,6.785,12.451,2023-12,2023,Alternativos,VaR_CVaR
VaR_CVaR,-0.019,4.209,-0.005,-0.0,-0.005,0.987,-0.232,14.579,1.111,0.073,0.099,9.904,-1.23,2024-12,2024,Alternativos,VaR_CVaR
Risk_Parity,2.973,5.875,0.506,0.021,0.729,3.142,35.67,20.352,1.389,0.08,0.112,11.208,39.459,2019-12,2019,Tecnologia,Risk_Parity
Risk_Parity,4.065,7.46,0.545,0.045,4.909,3.399,48.775,25.841,0.901,0.057,0.059,10.115,56.764,2020-12,2020,Tecnologia,Risk_Parity
Risk_Parity,2.847,3.814,0.746,0.031,1.358,7.122,34.164,13.212,0.923,0.025,0.043,4.25,38.996,2021-12,2021,Tecnologia,Risk_Parity
Risk_Parity,-3.64,9.119,-0.399,-0.027,-0.714,0.4,-43.683,31.589,1.354,0.152,0.177,35.645,-38.985,2022-12,2022,Tecnologia,Risk_Parity
Risk_Parity,5.228,6.621,0.79,0.044,1.773,11.72,62.736,22.936,1.178,0.026,0.054,5.741,80.354,2023-12,2023,Tecnologia,Risk_Parity
Risk_Parity,2.311,4.42,0.523,0.019,0.773,4.106,27.738,15.311,1.217,0.037,0.066,6.648,30.193,2024-12,2024,Tecnologia,Risk_Parity
Risk_Parity,1.035,3.338,0.31,0.06,0.553,2.198,12.415,11.565,0.173,0.042,0.042,8.077,12.466,2019-12,2019,Salud,Risk_Parity
Risk_Parity,1.206,6.055,0.199,0.018,0.492,1.656,14.469,20.974,0.66,0.067,0.069,8.986,13.246,2020-12,2020,Salud,Risk_Parity
Risk_Parity,2.661,4.721,0.564,0.024,0.894,4.234,31.935,16.355,1.132,0.04,0.067,6.726,35.455,2021-12,2021,Salud,Risk_Parity
Risk_Parity,1.383,5.038,0.275,0.034,0.539,2.197,16.6,17.453,0.408,0.048,0.069,8.09,16.349,2022-12,2022,Salud,Risk_Parity
Risk_Parity,-0.02,3.193,-0.006,-0.001,-0.008,0.984,-0.243,11.061,0.182,0.052,0.071,3.671,-0.812,2023-12,2023,Salud,Risk_Parity
Risk_Parity,0.467,3.699,0.126,0.006,0.273,1.322,5.609,12.812,0.77,0.052,0.056,12.003,4.961,2024-12,2024,Salud,Risk_Parity
Risk_Parity,3.001,5.749,0.522,0.022,0.942,3.397,36.011,19.915,1.367,0.066,0.079,7.934,40.118,2019-12,2019,Financieros,Risk_Parity
Risk_Parity,0.653,10.488,0.062,0.005,0.091,1.184,7.836,36.332,1.315,0.147,0.195,28.161,1.736,2020-12,2020,Financieros,Risk_Parity
Risk_Parity,2.34,5.847,0.4,0.024,0.872,3.025,28.082,20.255,0.979,0.054,0.068,6.841,29.687,2021-12,2021,Financieros,Risk_Parity
Risk_Parity,-0.5,8.613,-0.058,-0.004,-0.146,0.872,-6.006,29.838,1.12,0.106,0.119,24.864,-9.576,2022-12,2022,Financieros,Risk_Parity
Risk_Parity,1.506,7.188,0.21,0.013,0.457,1.644,18.071,24.9,1.173,0.081,0.108,12.522,16.373,2023-12,2023,Financieros,Risk_Parity
